Id(0) | Название(1) | Тип(2) | Сечение/Ячейка(3) | Диаметр(4) | Высота листа, рулона/длина хлыста C(5) | Высота листа, рулона/длина хлыста Т(6)| Ширина листа/длина рулона С(7) | Ширина листа/длина рулона Т(8) | Толщина(9) | Цвет/Покрытие(10) | Цена С(11) | Цена Т(12) | Наличие С(13) | Наличие Т(14) | Примечание(15)

Покрытие:
П-AC2ГЛВ; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1200.0; 0.40; белый 9003; 1934.0; 1926.0; 1; 1; ;
П-BCZГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.45; белый 9003; 1458.0; ; 1; 1; ;
П-BCTГЛВ; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1205.0; 0.45; белый 9003; 1823.0; ; 1; 1; ;
П-BCSГЛВ; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1205.0; 0.45; белый 9003; 2187.0; ; 1; 1; ;
П-BSSБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.50; - Античный дуб; 2150.0; 2150.0; 1; 1; ;
П-A93Б2; Профнастил; СС10; ; ; 1500.0; 1500.0; ; 1160.0; 0.40; красное вино 3005; 934.0; ; 1; 1; ;
П-94IБ2; Профнастил; СС10; ; ; 2500.0; 2500.0; ; 1164.0; 0.40; зеленый 6005; 1557.0; 1557.0; 1; 1; ;
П-A8NГЛВ; Профнастил; СС10; ; ; 6000.0; 6000.0; ; 1164.0; 0.40; зеленый 6005; 3736.0; ; 1; 1; ;
П-8HOГЛВ; Профнастил; СС10; ; ; 2000.0; 2000.0; ; 1164.0; 0.45; зеленый 6005; 1408.0; ; 1; 1; ;
П-8MOГЛВ; Профнастил; СС10; ; ; 2500.0; 2500.0; ; 1164.0; 0.45; зеленый 6005; 1761.0; ; 1; 1; ;
П-A8OГЛВ; Профнастил; СС10; ; ; 6000.0; 6000.0; ; 1164.0; 0.40; шоколад 8017; 3736.0; ; 1; 1; ;
П-92TГЛВ; Профнастил; СС10; ; ; 3000.0; 3000.0; ; 1164.0; 0.45; шоколад 8017; 2113.0; ; 1; 1; ;
П-C4DБ2; Профнастил; С21; ; ; 2500.0; 2500.0; ; 1054.0; 0.45; зеленый 6005; 1702.0; ; 1; 1; ;
П-C4EБ2; Профнастил; С21; ; ; 3000.0; 3000.0; ; 1054.0; 0.45; зеленый 6005; 2043.0; ; 1; 1; ;
П-C4HБ2; Профнастил; С21; ; ; 2500.0; 2500.0; ; 1054.0; 0.45; серый графит 7024; 1702.0; ; 1; 1; ;
П-C4IБ2; Профнастил; С21; ; ; 3000.0; 3000.0; ; 1054.0; 0.45; серый графит 7024; 2043.0; ; 1; 1; ;
П-C4PБ2; Профнастил; С21; ; ; 2500.0; 2500.0; ; 1054.0; 0.45; шоколад 8017; 1702.0; ; 1; 1; ;
П-C4QБ2; Профнастил; С21; ; ; 3000.0; 3000.0; ; 1054.0; 0.45; шоколад 8017; 2043.0; ; 1; 1; ;
П-APOБ2; Штакетник; М-образный; ; ; 1500.0; 1500.0; ; 115.0; 0.35-0.45; неокрашенный:Zn; 103.0; 103.0; 1; 1; ;
П-8CNГЛВ; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; неокрашенный:Zn; 115.0; 115.0; 1; 1; ;
П-APQБ2; Штакетник; М-образный; ; ; 1900.0; 1900.0; ; 115.0; 0.35-0.45; неокрашенный:Zn; 129.0; 129.0; 1; 1; ;
П-APPБ2; Штакетник; М-образный; ; ; 2000.0; 2000.0; ; 115.0; 0.35-0.45; неокрашенный:Zn; 136.0; 136.0; 1; 1; ;
П-APXБ2; Штакетник; М-образный; ; ; 1500.0; 1500.0; ; 115.0; 0.35-0.45; красное вино:3005; 125.0; 125.0; 1; 1; ;
П-APWБ2; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; красное вино:3005; 142.0; 142.0; 1; 1; ;
П-APYБ2; Штакетник; М-образный; ; ; 1900.0; 1900.0; ; 115.0; 0.35-0.45; красное вино:3005; 142.0; 142.0; 1; 1; ;
П-APVБ2; Штакетник; М-образный; ; ; 2000.0; 2000.0; ; 115.0; 0.35-0.45; красное вино:3005; 166.0; 166.0; 1; 1; ;
П-AQFГЛВ; Штакетник; М-образный; ; ; 1500.0; 1500.0; ; 115.0; 0.35-0.45; синий:5005; 125.0; 125.0; 1; 1; ;
П-AQOГЛВ; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; синий:5005; 142.0; 142.0; 1; 1; ;
П-AQQГЛВ; Штакетник; М-образный; ; ; 1900.0; 1900.0; ; 115.0; 0.35-0.45; синий:5005; 142.0; 142.0; 1; 1; ;
П-AQPГЛВ; Штакетник; М-образный; ; ; 2000.0; 2000.0; ; 115.0; 0.35-0.45; синий:5005; 166.0; 166.0; 1; 1; ;
П-C47Б2; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; морская волна:5021; 142.0; 142.0; 1; 1; ;
П-AQGГЛВ; Штакетник; М-образный; ; ; 1500.0; 1500.0; ; 115.0; 0.35-0.45; зеленый:6005; 125.0; 125.0; 1; 1; ;
П-94XГЛВ; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; зеленый:6005; 142.0; 142.0; 1; 1; ;
П-BHZБ2; Штакетник; Евро двухволновый; ; ; 1700.0; 1700.0; ; 110.0; 0.35-0.45; зеленый:6005; 171.0; 171.0; 1; 1; ;
П-AQNГЛВ; Штакетник; М-образный; ; ; 1900.0; 1900.0; ; 115.0; 0.35-0.45; зеленый:6005; 158.0; 158.0; 1; 1; ;
П-APRБ2; Штакетник; М-образный; ; ; 2000.0; 2000.0; ; 115.0; 0.35-0.45; зеленый:6005; 166.0; 166.0; 1; 1; ;
П-BGIБ2; Штакетник; М-образный; ; ; 1500.0; 1500.0; ; 115.0; 0.35-0.45; серый графит:7024; 125.0; 125.0; 1; 1; ;
П-BE1Б2; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; серый графит:7024; 142.0; 142.0; 1; 1; ;
П-BGJБ2; Штакетник; М-образный; ; ; 1900.0; 1900.0; ; 115.0; 0.35-0.45; серый графит:7024; 158.0; 158.0; 1; 1; ;
П-BGKБ2; Штакетник; М-образный; ; ; 2000.0; 2000.0; ; 115.0; 0.35-0.45; серый графит:7024; 166.0; 166.0; 1; 1; ;
П-AQRГЛВ; Штакетник; М-образный; ; ; 1500.0; 1500.0; ; 115.0; 0.35-0.45; шоколад:8017; 125.0; 125.0; 1; 1; ;
П-970ГЛВ; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; шоколад:8017; 142.0; 142.0; 1; 1; ;
П-BHYБ2; Штакетник; Евро полукруглый; ; ; 1700.0; 1700.0; ; 110.0; 0.35-0.45; шоколад:8017; 171.0; 171.0; 1; 1; ;
П-AQSГЛВ; Штакетник; М-образный; ; ; 1900.0; 1900.0; ; 115.0; 0.35-0.45; шоколад:8017; 158.0; 158.0; 1; 1; ;
П-APTБ2; Штакетник; М-образный; ; ; 2000.0; 2000.0; ; 115.0; 0.35-0.45; шоколад:8017; 166.0; 166.0; 1; 1; ;
П-AQHГЛВ; Штакетник; М-образный; ; ; 1500.0; 1500.0; ; 115.0; 0.35-0.45; белый:9003; ; 125.0; 1; 1; ;
П-950ГЛВ; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; белый:9003; 142.0; 142.0; 1; 1; ;
П-AQMГЛВ; Штакетник; М-образный; ; ; 1900.0; 1900.0; ; 115.0; 0.35-0.45; белый:9003; 142.0; 142.0; 1; 1; ;
П-APSБ2; Штакетник; М-образный; ; ; 2000.0; 2000.0; ; 115.0; 0.35-0.45; белый:9003; 166.0; 166.0; 1; 1; ;
П-BT3Б2; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.35-0.45; серый:7004; 142.0; 142.0; 1; 1; ;
П-BI7Б2; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.45-0.50; античный дуб:-; 216.0; ; 1; 1; ;
П-BI9Б2; Штакетник; М-образный; ; ; 1700.0; 1700.0; ; 115.0; 0.45-0.50; золотой орех:-; 216.0; ; 1; 1; ;
П-55YГЛВ; Сетка рабица; ; 10х10; 1.2; 1.0; 1.0; ; 10.0; null; Черная (без покрытия); 2670.0; 2670.0; 1; 1; ;
П-355ГЛВ; Сетка рабица; ; 15х15; 1.2; 1.0; 1.0; ; 10.0; null; Черная (без покрытия); 2560.0; 2560.0; 1; 1; ;
П-2NDГЛВ; Сетка рабица; ; 20х20; 1.2; 1.0; 1.0; ; 10.0; null; Черная (без покрытия); 1520.0; 1520.0; 1; 1; ;
П-C0AБ2; Сетка рабица; ; 20х20; 1.6; 1.0; 1.0; ; 10.0; null; Черная (без покрытия); 2130.0; ; 1; 1; ;
П-8CYГЛВ; Сетка рабица; ; 25х25; 1.2; 1.0; 1.0; ; 10.0; null; Черная (без покрытия); 1560.0; 1560.0; 1; 1; ;
П-4D6ГЛВ; Сетка рабица; ; 40х40; 1.6; 1.5; 1.5; ; 10.0; null; Черная (без покрытия); 1670.0; 1670.0; 1; 1; ;
П-8CVГЛВ; Сетка рабица; ; 50х50; 1.6; 1.5; 1.5; ; 10.0; null; Черная (без покрытия); 1230.0; 1230.0; 1; 1; ;
П-92MГЛВ; Сетка рабица; ; 50х50; 1.6; 2.0; 2.0; ; 10.0; null; Черная (без покрытия); 1560.0; 1560.0; 1; 1; ;
П-220Б2; Сетка рабица; ; 50х50; 2.0; 1.5; 1.5; ; 10.0; null; Черная (без покрытия); 1780.0; 1780.0; 1; 1; ;
П-45XГЛВ; Сетка рабица; ; 50х50; 2.0; 2.0; 2.0; ; 10.0; null; Черная (без покрытия); 2310.0; 2310.0; 1; 1; ;
П-A7VГЛВ; Сетка рабица; ; 20х20; 1.2; 1.0; 1.0; ; 10.0; null; Оцинкованная; 2000.0; 2000.0; 1; 1; ;
П-9X0ГЛВ; Сетка рабица; ; 20х20; 1.4; 1.0; 1.0; ; 10.0; null; Оцинкованная; ; 2340.0; 1; 1; ;
П-C3LБ2; Сетка рабица; ; 25х25; 1.6; 1.5; 1.5; ; 10.0; null; Оцинкованная; 3230.0; ; 1; 1; ;
П-86SГЛВ; Сетка рабица; ; 40х40; 1.6; 1.5; 1.5; ; 10.0; null; Оцинкованная; 2220.0; 2220.0; 1; 1; ;
П-BW3Б2; Сетка рабица; ; 40х40; 2.0; 1.5; 1.5; ; 10.0; null; Оцинкованная; 2560.0; 2560.0; 1; 1; ;
П-8CWГЛВ; Сетка рабица; ; 50х50; 1.6; 1.5; 1.5; ; 10.0; null; Оцинкованная; 1590.0; 1590.0; 1; 1; ;
П-BBDБ2; Сетка рабица; ; 50х50; 1.6; 1.8; 1.8; ; 10.0; null; Оцинкованная; 1890.0; 1890.0; 1; 1; ;
П-92NГЛВ; Сетка рабица; ; 50х50; 1.6; 2.0; 2.0; ; 10.0; null; Оцинкованная; 2120.0; 2120.0; 1; 1; ;
П-339ГЛВ; Сетка рабица; ; 50х50; 2.0; 1.5; 1.5; ; 10.0; null; Оцинкованная; 2090.0; 2090.0; 1; 1; ;
П-BW4Б2; Сетка рабица; ; 50х50; 2.0; 1.8; 1.8; ; 10.0; null; Оцинкованная; 2490.0; 2490.0; 1; 1; ;
П-4EDГЛВ; Сетка рабица; ; 50х50; 2.0; 2.0; 2.0; ; 10.0; null; Оцинкованная; 3230.0; 3230.0; 1; 1; ;
П-C16Б2; Сетка рабица; ; 50х50; 3.0; 2.0; 2.0; ; 10.0; null; Оцинкованная; 6710.0; ; 1; 1; ;
П-44QГЛВ; Сетка рабица; ; 70х70; 2.0; 1.5; 1.5; ; 10.0; null; Оцинкованная; 1620.0; 1620.0; 1; 1; ;
П-9XRБ2; Сетка рабица; ; 50х50; 2.2; 1.5; 1.5; ; 10.0; null; С полимерным покрытием (темно-зел); 2570.0; 2570.0; 1; 1; ;
